net,C,H,W,M,FH,FW,PH,PW,SH,SW,DH,DW,OH,OW,GEMM_M,GEMM_K,GEMM_N
inception_v3,128,17,17,192,7,1,3,0,1,1,1,1,17,17,192,896,289
inception_v3,768,17,17,128,1,1,0,0,1,1,1,1,17,17,128,768,289
inception_v3,128,17,17,128,7,1,3,0,1,1,1,1,17,17,128,896,289
inception_v3,128,17,17,128,1,7,0,3,1,1,1,1,17,17,128,896,289
inception_v3,128,17,17,128,7,1,3,0,1,1,1,1,17,17,128,896,289
inception_v3,128,17,17,192,1,7,0,3,1,1,1,1,17,17,192,896,289
inception_v3,768,17,17,192,1,1,0,0,1,1,1,1,17,17,192,768,289
inception_v3,768,17,17,192,1,1,0,0,1,1,1,1,17,17,192,768,289
inception_v3,768,17,17,160,1,1,0,0,1,1,1,1,17,17,160,768,289
inception_v3,160,17,17,160,1,7,0,3,1,1,1,1,17,17,160,1120,289
inception_v3,160,17,17,192,7,1,3,0,1,1,1,1,17,17,192,1120,289
inception_v3,768,17,17,160,1,1,0,0,1,1,1,1,17,17,160,768,289
inception_v3,160,17,17,160,7,1,3,0,1,1,1,1,17,17,160,1120,289
inception_v3,160,17,17,160,1,7,0,3,1,1,1,1,17,17,160,1120,289
inception_v3,160,17,17,160,7,1,3,0,1,1,1,1,17,17,160,1120,289
inception_v3,160,17,17,192,1,7,0,3,1,1,1,1,17,17,192,1120,289
inception_v3,768,17,17,192,1,1,0,0,1,1,1,1,17,17,192,768,289
inception_v3,768,17,17,192,1,1,0,0,1,1,1,1,17,17,192,768,289
inception_v3,768,17,17,160,1,1,0,0,1,1,1,1,17,17,160,768,289
inception_v3,160,17,17,160,1,7,0,3,1,1,1,1,17,17,160,1120,289
inception_v3,160,17,17,192,7,1,3,0,1,1,1,1,17,17,192,1120,289
inception_v3,768,17,17,160,1,1,0,0,1,1,1,1,17,17,160,768,289
inception_v3,160,17,17,160,7,1,3,0,1,1,1,1,17,17,160,1120,289
inception_v3,160,17,17,160,1,7,0,3,1,1,1,1,17,17,160,1120,289
inception_v3,160,17,17,160,7,1,3,0,1,1,1,1,17,17,160,1120,289
inception_v3,160,17,17,192,1,7,0,3,1,1,1,1,17,17,192,1120,289
inception_v3,768,17,17,192,1,1,0,0,1,1,1,1,17,17,192,768,289
inception_v3,768,17,17,192,1,1,0,0,1,1,1,1,17,17,192,768,289
inception_v3,768,17,17,192,1,1,0,0,1,1,1,1,17,17,192,768,289
inception_v3,192,17,17,192,1,7,0,3,1,1,1,1,17,17,192,1344,289
inception_v3,192,17,17,192,7,1,3,0,1,1,1,1,17,17,192,1344,289
inception_v3,768,17,17,192,1,1,0,0,1,1,1,1,17,17,192,768,289
inception_v3,192,17,17,192,7,1,3,0,1,1,1,1,17,17,192,1344,289
inception_v3,192,17,17,192,1,7,0,3,1,1,1,1,17,17,192,1344,289
inception_v3,192,17,17,192,7,1,3,0,1,1,1,1,17,17,192,1344,289
inception_v3,192,17,17,192,1,7,0,3,1,1,1,1,17,17,192,1344,289
inception_v3,768,17,17,192,1,1,0,0,1,1,1,1,17,17,192,768,289
inception_v3,768,5,5,128,1,1,0,0,1,1,1,1,5,5,128,768,25
inception_v3,128,5,5,768,5,5,0,0,1,1,1,1,1,1,768,3200,1
inception_v3,768,17,17,192,1,1,0,0,1,1,1,1,17,17,192,768,289
googlenet,3,224,224,64,7,7,3,3,2,2,1,1,112,112,64,147,12544
googlenet,64,56,56,64,1,1,0,0,1,1,1,1,56,56,64,64,3136
googlenet,64,56,56,192,3,3,1,1,1,1,1,1,56,56,192,576,3136
googlenet,192,28,28,64,1,1,0,0,1,1,1,1,28,28,64,192,784
googlenet,192,28,28,96,1,1,0,0,1,1,1,1,28,28,96,192,784
googlenet,96,28,28,128,3,3,1,1,1,1,1,1,28,28,128,864,784
googlenet,192,28,28,16,1,1,0,0,1,1,1,1,28,28,16,192,784
googlenet,16,28,28,32,3,3,1,1,1,1,1,1,28,28,32,144,784
googlenet,192,28,28,32,1,1,0,0,1,1,1,1,28,28,32,192,784
googlenet,256,28,28,128,1,1,0,0,1,1,1,1,28,28,128,256,784
googlenet,256,28,28,128,1,1,0,0,1,1,1,1,28,28,128,256,784
googlenet,128,28,28,192,3,3,1,1,1,1,1,1,28,28,192,1152,784
googlenet,256,28,28,32,1,1,0,0,1,1,1,1,28,28,32,256,784
googlenet,32,28,28,96,3,3,1,1,1,1,1,1,28,28,96,288,784
googlenet,256,28,28,64,1,1,0,0,1,1,1,1,28,28,64,256,784
googlenet,480,14,14,192,1,1,0,0,1,1,1,1,14,14,192,480,196
googlenet,480,14,14,96,1,1,0,0,1,1,1,1,14,14,96,480,196
googlenet,96,14,14,208,3,3,1,1,1,1,1,1,14,14,208,864,196
googlenet,480,14,14,16,1,1,0,0,1,1,1,1,14,14,16,480,196
googlenet,16,14,14,48,3,3,1,1,1,1,1,1,14,14,48,144,196
googlenet,480,14,14,64,1,1,0,0,1,1,1,1,14,14,64,480,196
googlenet,512,4,4,128,1,1,0,0,1,1,1,1,4,4,128,512,16
googlenet,512,14,14,160,1,1,0,0,1,1,1,1,14,14,160,512,196
googlenet,512,14,14,112,1,1,0,0,1,1,1,1,14,14,112,512,196
googlenet,112,14,14,224,3,3,1,1,1,1,1,1,14,14,224,1008,196
googlenet,512,14,14,24,1,1,0,0,1,1,1,1,14,14,24,512,196
googlenet,24,14,14,64,3,3,1,1,1,1,1,1,14,14,64,216,196
googlenet,512,14,14,64,1,1,0,0,1,1,1,1,14,14,64,512,196
googlenet,512,14,14,128,1,1,0,0,1,1,1,1,14,14,128,512,196
googlenet,512,14,14,128,1,1,0,0,1,1,1,1,14,14,128,512,196
googlenet,128,14,14,256,3,3,1,1,1,1,1,1,14,14,256,1152,196
googlenet,512,14,14,24,1,1,0,0,1,1,1,1,14,14,24,512,196
googlenet,24,14,14,64,3,3,1,1,1,1,1,1,14,14,64,216,196
googlenet,512,14,14,64,1,1,0,0,1,1,1,1,14,14,64,512,196
googlenet,512,14,14,112,1,1,0,0,1,1,1,1,14,14,112,512,196
googlenet,512,14,14,144,1,1,0,0,1,1,1,1,14,14,144,512,196
googlenet,144,14,14,288,3,3,1,1,1,1,1,1,14,14,288,1296,196
googlenet,512,14,14,32,1,1,0,0,1,1,1,1,14,14,32,512,196
googlenet,32,14,14,64,3,3,1,1,1,1,1,1,14,14,64,288,196
googlenet,512,14,14,64,1,1,0,0,1,1,1,1,14,14,64,512,196
googlenet,528,4,4,128,1,1,0,0,1,1,1,1,4,4,128,528,16
googlenet,528,14,14,256,1,1,0,0,1,1,1,1,14,14,256,528,196
googlenet,528,14,14,160,1,1,0,0,1,1,1,1,14,14,160,528,196
